Country,CountryCode,RegionID,RegionCode,Region,ResortID,ResortCode,Resort
Albania,ALB,1090,BERZ,Berat,1943,BER,Berat
Albania,ALB,1092,DURR,Durres,1947,DUR,Durres
Albania,ALB,1092,DURR,Durres,11716,KRUJ,Kruje
Albania,ALB,1092,DURR,Durres,11717,RINA,Rinas
Albania,ALB,9001,ELBAS,Elbasan,11710,ELBAS,Elbasan
Albania,ALB,9002,FIER,Fier,11718,DIVJ,Divjake
Albania,ALB,9002,FIER,Fier,11707,FIER,Fier
Albania,ALB,9003,GJIR,Gjirokastra,11702,GJIR,Gjirokastra
Albania,ALB,9003,GJIR,Gjirokastra,11706,PERM,Permet
Albania,ALB,1093,KORZ,Korce,1952,KOR,Korce
Albania,ALB,1093,KORZ,Korce,11704,POGR,Pogradec
Albania,ALB,8998,KUKE,Kukes,11726,KUKE,Kukes
Albania,ALB,8998,KUKE,Kukes,11714,VALB,Valbona
Albania,ALB,8999,LEZH,Lezhe,11709,LEZH,Lezhe
Albania,ALB,8999,LEZH,Lezhe,11705,SHEN,Shengjin
Albania,ALB,1105,SHK,Shkoder,1972,SHKO,Shkoder
Albania,ALB,1105,SHK,Shkoder,11713,THET,Theth
Albania,ALB,1105,SHK,Shkoder,11712,VELI,Velipoje
Albania,ALB,1108,TIRA,Tirana,11701,GOLE,Golem
Albania,ALB,1108,TIRA,Tirana,1977,TIR,Tirana
Albania,ALB,1108,TIRA,Tirana,11728,VORE,Vore
Albania,ALB,1112,VLOR,Vlore,11711,BORS,Borsh
Albania,ALB,1112,VLOR,Vlore,11708,DHER,Dhermi
Albania,ALB,1112,VLOR,Vlore,11703,HIMA,Himare
Albania,ALB,1112,VLOR,Vlore,11700,KSAM,Ksamil
Albania,ALB,1112,VLOR,Vlore,11727,LUKO,Lukove
Albania,ALB,1112,VLOR,Vlore,11715,QEPA,Qeparo
Albania,ALB,1112,VLOR,Vlore,1969,SAR,Sarande
Albania,ALB,1112,VLOR,Vlore,1981,VLO,Vlore
Algeria,ALG,1116,ALGI,Algiers,1986,ALG,Algiers
Algeria,ALG,1117,ANAB,Annaba,1988,ANN,Annaba
Algeria,ALG,1119,BEJI,Bejaia,1991,BEJ,Bejaia
Algeria,ALG,1123,ELOU,El Oued,1994,EL,El Oued
Algeria,ALG,1129,ORAZ,Oran,1999,ORA,Oran
Algeria,ALG,1131,TLEM,Tlemcen,2003,TLE,Tlemcen
Andorra,AND,1133,ANDO,Andorra La Vella,2006,AND,Andorra La Vella
Andorra,AND,1134,ARIN,Arinsal,2008,ARI,Arinsal
Andorra,AND,1135,CNLO,Canillo,2010,CNL,Canillo
Andorra,AND,1136,ELTA,El Tarter,2011,EL,El Tarter
Andorra,AND,1138,ELSP,Els Plans,2014,ELS,Els Plans
Andorra,AND,1140,ENCP,Encamp,2016,ENC,Encamp
Andorra,AND,1142,ESCA,Escaldes - Engordany,2018,ESC,Escaldes - Engordany
Andorra,AND,1145,GRAR,Grau Roig,2021,GRA,Grau Roig
Andorra,AND,1149,MASS,La Massana,2030,MAS,La Massana
Andorra,AND,1151,ORDI,Ordino,2033,ORD,Ordino
Andorra,AND,1153,PALA,Pal,2038,PAL,Pal
Andorra,AND,1155,PASD,Pas De La Casa,2039,PAS,Pas De La Casa
Andorra,AND,1156,SANJ,Sant Julia,2041,SAN,Sant Julia
Andorra,AND,1158,SOLD,Soldeu,2042,SOL,Soldeu
Angola,AO,1163,BEN,Benguela,2048,BENG,Benguela
Angola,AO,1165,HUAM,Huambo,2049,HUA,Huambo
Angola,AO,1166,LUBI,Lobito,2051,LUB,Lobito
Angola,AO,1168,LNDA,Luanda,2053,LUA,Luanda
Angola,AO,1170,LUB,Lubango,2054,LUBA,Lubango
Angola,AO,1171,VIAA,Viana,2056,VIA,Viana
Anguilla,AI,6888,WSTE,Anguilla,8525,WES,Anguilla
Antigua,A&B,6787,ANT,Antigua,8421,EST,East coast
Antigua,A&B,6787,ANT,Antigua,8423,STJ,St Johns
Argentina,ARG,1174,BAHB,Bahia Blanca,2059,BAH,Bahia Blanca
Argentina,ARG,1175,BUE,Buenos Aires,2060,BEL,Belgrano
Argentina,ARG,1175,BUE,Buenos Aires,2061,BUE,Buenos Aires vicinity
Argentina,ARG,1175,BUE,Buenos Aires,2063,CEN,Centro
Argentina,ARG,1175,BUE,Buenos Aires,2064,MIC,Microcentro
Argentina,ARG,1175,BUE,Buenos Aires,2065,PAL,Palermo ARG
Argentina,ARG,1175,BUE,Buenos Aires,2067,PUE,Puerto Madero
Argentina,ARG,1175,BUE,Buenos Aires,2068,REC,Recoleta
Argentina,ARG,1175,BUE,Buenos Aires,2069,RET,Retiro
Argentina,ARG,1175,BUE,Buenos Aires,2070,SAN,San Telmo
Argentina,ARG,1179,CFYT,Cafayate,2072,CFY,Cafayate
Argentina,ARG,1181,CAMN,Campana,2076,CAM,Campana
Argentina,ARG,1183,CRLO,Carilo,2079,CRL,Carilo
Argentina,ARG,1185,CTMA,Catamarca,2083,CTM,Catamarca
Argentina,ARG,1187,CRCS,Cerro Castor,2086,CRC,Cerro Castor
Argentina,ARG,1188,CRCO,Chacras de Coria,2088,CRC,Chacras de Coria
Argentina,ARG,1194,CDRV,Comodoro Rivadavia,2100,CDR,Comodoro Rivadavia
Argentina,ARG,1197,CNCD,Concordia,2104,CNC,Concordia
Argentina,ARG,1200,CORD,Cordoba,2107,COR,Cordoba
Argentina,ARG,1203,CRTS,Corrientes,2110,CRT,Corrientes
Argentina,ARG,1205,DRGO,Dorrego,2113,DRG,Dorrego
Argentina,ARG,1208,ELCA,El Calafate,2117,ELC,El Calafate
Argentina,ARG,1210,CHTL,El Chalten,2120,CHT,El Chalten
Argentina,ARG,1211,ESQU,Esquel,2122,ESQ,Esquel
Argentina,ARG,1214,FMSA,Formosa,2124,FMS,Formosa
Argentina,ARG,1215,HLRA,Huacalera,2125,HLR,Huacalera
Argentina,ARG,1216,IGUA,Iguazu,2126,IGU,Iguazu
Argentina,ARG,1218,JUJU,Jujuy,2128,JUJ,Jujuy
Argentina,ARG,1219,LPLT,La Plata,2130,LPL,La Plata
Argentina,ARG,1221,LPNT,La Punta,2131,LPN,La Punta
Argentina,ARG,1223,LRJA,La Rioja,2133,LRJ,La Rioja
Argentina,ARG,1227,LSLS,Las Lenas,2139,LSL,Las Lenas
Argentina,ARG,1230,LOSC,Los Cocos,2143,LOS,Los Cocos
Argentina,ARG,1231,LUJA,Lujan de Cuyo,2145,LUJ,Lujan de Cuyo
Argentina,ARG,1234,MAAJ,Mar De Ajo,2148,MAR,Mar De Ajo
