PropertyReferenceID,Name,Address,PostcodeZip,Telephone,Fax,Resort,ResortID,Region,RegionID,Country,PropertyType,Rating,Latitude,Longitude
90,Anantara Convento di Amalfi Grand Hotel,"Via Annunziatella, 46",84011,+39 089 8736711,+39 089 8736704,Amalfi,151,Amalfi Coast,310,Italy,Hotel,5,40.63296,14.5973
102,Residence Badus,"Via Pascoli, 37",07030,+39 079684467,+39 079683198,Badesi,201,Olbia & Vicinity,6,Italy,Residence,0,40.96461,8.88193
106,Hotel Airone,Via Lu Postu,07021,+39 0789 933021,+39 0789 933027,Baja Sardinia,775,Olbia & Vicinity,6,Italy,Hotel,4,41.09465,9.4518
107,Grand Hotel Smeraldo Beach,Via Tre Monti,07020,+39 0789 99046,+39 0789 99500,Baja Sardinia,775,Olbia & Vicinity,6,Italy,Hotel,4,41.14071,9.47455
109,Club Esse Cala Bitta,Località Cala Bitta,07021,+39 06 45439344,+39 0689281079,Baja Sardinia,775,Olbia & Vicinity,6,Italy,Villaggio,3,41.12432,9.47043
110,Hotel Pedra Santa,Località Pulicinu,07021,+39 331 2870859,+39 0789937007,Baja Sardinia,775,Olbia & Vicinity,6,Italy,Hotel,4,41.11117,9.47334
112,Hotel Pulicinu,Località Pulicinu,07021,+39 0789 933001,+39 0789 933090,Baja Sardinia,775,Olbia & Vicinity,6,Italy,Hotel,4,41.11461,9.47319
113,Hotel Punta Est,Via dei Cedri,07021,+39 0789 99028,+39 0789 99679,Baja Sardinia,775,Olbia & Vicinity,6,Italy,Hotel,4,41.13877,9.47774
115,Residence Ea Bianca,Loc. Ea Bianca,07020,+39 079 271461,,Arzachena,263,Olbia & Vicinity,6,Italy,Residence,0,41.10914,9.4648
116,Residence Pineta Uno,Loc. Baja Sardinia,07023,+39 0586 723345,,Baja Sardinia,775,Olbia & Vicinity,6,Italy,Residence,0,41.13649,9.47879
130,Relais & Spa La Corte di Bettona,"Via Santa Caterina, 2",06084,+39 075 987114,+39 075 9869130,Bettona,303,Umbria,8972,Italy,Hotel,4,43.01382,12.48424
136,Villaggio Hotel Lido San Giuseppe,Località Brace,89817,+39 0963 393037,+39 0963 395828,Briatico,156,Calabria Tirrenian Sea,405,Italy,Hotel Club,4,38.723,16.01121
139,Villaggio Dolomiti sul Mare,SS 522 direzione Tropea,87027,+39 0963 391355,+39 0963 393009,Briatico,156,Calabria Tirrenian Sea,405,Italy,Hotel,4,38.71862,16.05851
140,Grande Albergo Internazionale,"Viale Regina Margherita, 23",72100,+39 0831 523473,+39 0831 523476,Brindisi,46,Salento,77,Italy,Hotel,4,40.64153,17.94614
142,Hotel Dioscuri Bay Palace,"Via Lungomare Falcone  Borsellino, 1",92100,+39 0922 406111,+39 0922 411297,Agrigento,91,Sicily,3,Italy,Hotel,4,37.26349,13.57803
144,Grand Hotel Mosè,Via L. Sciasia,92100,+39 0922 608388,+39 0922 608377,Agrigento,91,Sicily,3,Italy,Hotel,4,37.2726,13.61662
145,Hotel Baia di Ulisse Wellness & SPA,Via Lacco Ameno snc,92100,+39 0922 417638,+39 0922 417635,Agrigento,91,Sicily,3,Italy,Hotel,4,37.24222,13.61727
146,Hotel Kore,Viale Leonardo Sciascia,92100,+39 0922 607663,+39 0922 607411,Agrigento,91,Sicily,3,Italy,Hotel,4,37.27091,13.62238
155,Grand Hotel La Batia,"Via Porta Palermo, 106",91011,+39 0924 514160,+39 0924 514152,Alcamo,133,Sicily,3,Italy,Hotel,4,37.98581,12.97395
156,Residence Bouganvillage,"Via Caronte, 11",08020,+39 345 6448283,,Budoni,182,Olbia & Vicinity,6,Italy,Residence,0,40.68264,9.72716
157,Hotel Centrale Spa & Relax,Via Giovanni Amendola 24,91011,+39 0924 507845,+39 0924 507768,Alcamo,133,Sicily,3,Italy,Hotel,4,37.98144,12.96428
158,Baia Blu La Tortuga,Pineta di Vignola Mare,07021,+39 0789 86003,+39 0789 86089,Vignola Mare,811,Olbia & Vicinity,6,Italy,Villaggio,0,41.1239,9.06777
160,Hotel Alma di Alghero,"Via Lido, 29",07041,+39 079 985616,+39 079 5993115,Alghero,206,Alghero & Vicinity,8942,Italy,Hotel,4,40.57175,8.31888
161,Falconara Greenblu Resort,Strada Statale 115,93011,+39 0934 031514,,Butera,287,Sicily,3,Italy,Hotel,4,37.11098,14.05284
163,Hotel Nuraghe Arvu Resort,Viale Bue Marino,08022,+39 0784 920075,+39 0784 920516,Cala Gonone,803,Olbia & Vicinity,6,Italy,Hotel,4,40.27897,9.62786
165,Hotel Stella del Sud,Loc. Spiaggia Grande,09011,+39 0781 810188,+39 0781 810148,Sant'Antioco Island,326,Cagliari & Vicinity,8943,Italy,Hotel,3,39.08534,8.35997
166,Hotel Catalunya,"Via Catalogna, 24",07041,+39 079 953172,+39 079 953177,Alghero,206,Alghero & Vicinity,8942,Italy,Hotel,4,40.56094,8.31718
168,Acacia Resort Parco dei Leoni,"Viale Himera, 6",90015,+39 0921 935400,+39 0921 935392,Campofelice di Roccella,136,Sicily,3,Italy,Hotel Club,4,37.98221,13.84089
169,Grand Palladium Sicilia Resort & SPA,"Via Imera, 7/8",90010,+39 0921930011,+39 0921933595,Campofelice di Roccella,136,Sicily,3,Italy,Hotel,5,37.98217,13.83912
170,NH Collection Venezia Grand Hotel Dei Dogi,"Fondamenta Madonna dell’Orto, 3500",30121,+39 041 2208111,+39 041 722278,Cannaregio,358,Venice,128,Italy,Hotel,5,45.44647,12.33107
172,Centro Vacanze Isuledda Mobile Homes,Località La Conia,07021,+39 0789 86003,+39 0789 86089,Cannigione,805,Olbia & Vicinity,6,Italy,Villaggio,0,41.13217,9.44333
173,Centro Vacanze Isuledda Hotel Il Borgo,Loc. Cannigione,07021,+39 0789 86003,+39 0789 86089,Cannigione,805,Olbia & Vicinity,6,Italy,Villaggio,4,41.13217,9.44333
176,Myo Hotel Stelle Marine,Località Mannena,07021,+39 0789 86305,+39 0789 86332,Cannigione,805,Olbia & Vicinity,6,Italy,Hotel,4,41.14097,9.4255
177,Villa del Golfo Lifestyle Resort,Località La Conia,07021,+39 0789 892091,+39 0789 892101,Cannigione,805,Olbia & Vicinity,6,Italy,Hotel,5,41.11876,9.43975
178,Residence La Costa View,"Via Otranto, 46",07021,+39 3420897229,,Arzachena,263,Olbia & Vicinity,6,Italy,Residence,0,41.10649,9.43227
180,Hotel Corte Rosada Resort & Spa Adult Only,Località Porto Conte 77,07041,+39 079 942038,+39 079 942158,Alghero,206,Alghero & Vicinity,8942,Italy,Hotel,4,40.5973,8.22002
181,Hotel dei Pini,Località Le Bombarde,07041,+39 079 930157,+39 079 930259,Alghero,206,Alghero & Vicinity,8942,Italy,Hotel,4,40.58402,8.25487
182,Cala Cuncheddi - VRetreats,Località Li Cuncheddi,07026,+39 0789 36350,+39 0789 36741,Olbia,189,Olbia & Vicinity,6,Italy,Hotel,4,40.90919,9.60602
184,Hotel Portoconte,"Località Porto Conte, 79",07041,+39 079 942035,+39 079 942045,Alghero,206,Alghero & Vicinity,8942,Italy,Hotel Club,4,40.59452,8.21836
186,Residence Baia Salinedda,Loc Capo Coda Cavallo,08020,+39 0784 834018,+39 0784 834234,San Teodoro,183,Olbia & Vicinity,6,Italy,Residence,0,40.83708,9.703
187,Camping Village Laguna Blu,Strada statale 127 bis km 41,07021,+39 079 930111,+39 079 930595,Alghero,206,Alghero & Vicinity,8942,Italy,Residence,0,40.59509,8.29115
189,Villaggio Spiagge Rosse,"Contrada Fratte, 39",88841,+39 0962 1916760,,Isola di Capo Rizzuto,173,Calabria Ionian Sea,406,Italy,Villaggio,4,38.93357,17.13409
192,Residence Picalè,"Via Lido, 69",07041,+39 079 986280,+39 079 986280,Alghero,206,Alghero & Vicinity,8942,Italy,Residence,0,40.57426,8.3167
194,Hotel Village Eden,Spiaggia Grotticelle,89866,+39 0963663949,+39 09631930189,Capo Vaticano,663,Calabria Tirrenian Sea,405,Italy,Villaggio,3,38.61578,15.83854
195,Hotel Il Gattopardo,Viale G. Berto,89866,+39 0963 663438,+39 0963 663438,Capo Vaticano,663,Calabria Tirrenian Sea,405,Italy,Hotel,3,38.62326,15.84002
196,Residence Il Gattopardo,Viale G. Berto,89866,+39 0963 663438,+39 0963 663438,Capo Vaticano,663,Calabria Tirrenian Sea,405,Italy,Residence,3,38.62285,15.84023
198,La Bussola Hotel,Viale Giuseppe Berto,89865,+39 0963 663226,+39 0963 665571,Ricadi,163,Calabria Tirrenian Sea,405,Italy,Hotel,3,38.63759,15.84835
202,Villaggio Baia d'Ercole,Località Capo Vaticano,89866,+39 0963663106,+39 0963663206,Capo Vaticano,663,Calabria Tirrenian Sea,405,Italy,Hotel,4,38.61274,15.84707
203,Villaggio ApartHotel Pineta Petto Bianco,Loc. Campa S. Maria di Ricardi,89866,+39 0963 665768,+39 0963 663016,Ricadi,163,Calabria Tirrenian Sea,405,Italy,Hotel Club,4,38.61452,15.85235
212,Villaggio Torre Ruffa Robinson,C.da Torre Ruffa,89866,+39 0963 6631 85,+39 0963 6639 34,Capo Vaticano,663,Calabria Tirrenian Sea,405,Italy,Villaggio,3,38.64324,15.83748
213,Culture Hotel Villa Capodimonte,"Salita Moiariello, 66",80131,+39 081459000,,Naples Central Station,341,Naples & Vicinity,73,Italy,Hotel,4,40.86463,14.25845
217,Hotel Syrene,"via Camarelle, 51",80073,+39 081 8370102,+39 0818370957,Capri,52,Capri Island,69,Italy,Hotel,4,40.54996,14.24572
219,Luxury Villa Excelsior Parco,"Via Provinciale Marina Grande, 179",80073,+39 081 8379671,+39 081 8376973,Capri,52,Capri Island,69,Italy,Hotel,5,40.55601,14.23642
220,Grand Hotel Quisisana,"via Camerelle, 2",80073,+39 081 8370788,+39 081 8376080,Capri,52,Capri Island,69,Italy,Hotel,5,40.54958,14.24428
222,Hotel Casa Morgano,"Via Tragara, 6",80073,+39 081 8370158,+39 081 8370681,Capri,52,Capri Island,69,Italy,Hotel,5,40.54874,14.24821
225,Gatto Bianco Hotel & SPA,"Via Vittorio Emanuele, 32",80073,+39 081 8370203,+39 081 8378060,Capri,52,Capri Island,69,Italy,Hotel,4,40.55026,14.24359
228,Hotel La Floridiana,"Via Campo di Testa, 16",80073,+39 081 8370166,+39 081 8370434,Capri,52,Capri Island,69,Italy,Hotel,4,40.5486,14.24733
230,Hotel Scalinatella,"Via Tragara, 8",80073,+39 081 8370633,+39 081 8378291,Capri,52,Capri Island,69,Italy,Hotel,5,40.54845,14.24872
233,Punta Tragara,"Via Tragara, 57",80073,+39 081 8370844,+39 081 8377790,Capri,52,Capri Island,69,Italy,Hotel,5,40.5453,14.25014
